Track Name,Artist Name,Genre,Year,Lyrics,Spotify Genres,Release Date,Popularity,Explicit
"See You Again, Love Me Like You Do, Sugar (Acoustic Mashup)",Megan Davies,"acoustic cover,viral pop",2015-05-15,"[Intro]
Love me like you do
Lo-lo-love me like you do
Love me like you do
Lo-lo-love me like you do
Touch me like you do
To-to, touch me like you do
Love me like you do
Lo-lo-love me like you do

[Verse 1]
You're the light, you're the night
You're the color of my blood
You're the cure, you're the pain
You're the only thing I wanna touch
(I don't wanna be needing your love)
Never knew that it could mean so much
(I just wanna be deep in your love)
So much

[Verse 2]
You're the fear, I don't care
'Cause I've never been so high
Follow me through the dark
Let me take you past our satellites
('Cause I really don't care where you are)
You can see the world you brought to life
(I just wanna be there where you are)
To life

[Verse 3]
Your sugar
Yes, please
Won't you come and put it down on me
I'm right here
'Cause I need, little love and little sympathy

[Verse 4]
I'm hurting baby, I'm broken down
I need your loving, loving, I need it now
When I'm without you, I'm something weak
You got me begging, begging, I'm on my knees
(I'll let you set the pace)
How could we not talk about family, when family's all that we got
Everything I went through you were standing there by my side
And now you gonna be with me for the last ride

[Verse 5]
It's been a long day without you my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh I'll tell you all about it when I see you again

[Outro]
Ooh, oh, ooh, oh...
So let the light guide your way
Yeah, hold every memory as you go
And every road you take
Will always lead you home, home, home
(Love me like you do, lo-lo-love me like you do)
Your sugar
(Love me like you do, lo-lo-love me like you do) Yes, please
It's been a long day without you my friend
Yeah, you show me good loving make it all right
And I'll tell you all about it when I see you again
When I see you again, when I see you again",acoustic pop,2015-05-15,51,False
How Am I Supposed to Live Without You?,Laura Branigan,"new romantic,new wave pop,soft rock,synthpop",1995-06-06,"[Verse 1]
I could hardly believe it when I heard the news today
I had to come and get it straight from you
They said you were leavin', someone swept your heart away
From the look upon your face, I see it's true

[Pre-Chorus 1]
So tell me all about it
Tell me about the plans you're makin'
Then tell me one thing more before I go

[Chorus]
Tell me how am supposed to live without you?
Now that I've been lovin' you so long
How am I supposed to live without you?
How am I supposed to carry on?
When all that I've been livin' for is gone

[Verse 2]
Didn't come here for cryin'
Didn't come here to breakdown
It's just a dream of mine is coming to an end
How can I blame you
When I build my world around
The hope that one day we'd be so much
More than friends?

[Pre-Chorus 2]
And I don't wanna know the price I'm gonna pay for dreaming
I need you now, it's more than I can take

[Chorus]
Tell me how am supposed to live without you?
Now that I've been lovin' you so long
How am I supposed to live without you?
And how am I supposed to carry on?
When all that I've been livin' for is gone

[Pre-Chorus 3]
I don't wanna know the price I'm gonna pay for dreaming
Now that your dream has come true

[Chorus]
Tell me how am supposed to live without you?
Now that I've been lovin' you so long
How am I supposed to live without you?
And how am I supposed to carry on?
All that I've been livin' for is gone

Without you
After I've been lovin' you so long
How am I supposed to live without you?
And how am I supposed...",,1983-03-16,41,False
True Colors,Anna Kendrick,"hollywood,movie tunes,dance pop,pop",2016-09-16,"[Verse 1: Justin Timberlake]
You with the sad eyes
Don't be discouraged
Oh, I realize
It's hard to take courage
In a world full of people
You can lose sight of it all
And the darkness inside you
Can make you feel so small

[Verse 2: Justin Timberlake, Both]
Show me a smile then
Don't be unhappy
Can't remember when
I last saw you laughing
This world makes you crazy
And you've taken all you can bear
Just, call me up
'Cause I will always be there

[Chorus: Justin Timberlake, Anna Kendrick, Both]
And I see your true colors, shinin' through
I see your true colors, and that's why I love you
So don't be afraid to let them show
Your true colors, true colors are beautiful
I see your true colors, shinin' through (True colors)
I see your true colors, and that's why I love you
So don't be afraid to let them show
Your true colors, true colors are beautiful
Like a rainbow, ohh, ohh, ohh, like a rainbow

[Bridge: Justin Timberlake, Both]
Can't remember when
I last saw you laughing, oh-ohhh
This world makes you crazy
And you're takin' all you can bear
Just call me up
'Cause I will always be there

[Chorus: Justin Timberlake, Anna Kendrick, Both]
And I see your true colors, shinin' through
I see your true colors, and that's why I love you
So don't be afraid (Don't be afraid)
To let them show
Your true colors, true colors are beautiful
Like a rainbow (Ohh-ohh)
Like a rainbow, ooh-ooh",children's music,2016-09-23,58,False
Drake - One Dance ft. Wizkid & Kyla (Türkçe Çeviri),Genius Türkçe Çeviri,"canadian hip hop,canadian pop,hip hop,pop rap,rap,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop,uk funky",2016-05-06,"[""One Dance"" için Türkçe şarkı sözleri]

[Refrain: Kyla]
Senin tarzını seviyorum bebek

[Verse 1: Drake]
Eller belde
Öne ve arkaya
Biliyorsun rol yapmıyorum
Sokaklar güvenli değil
Fakat asla kaçmadım
Uzakta olsam bile
Hayır, hayır, kentin dışında asla yeteri kadar sevgi yok
Tek parça dönmek için dua ediyorum
Dua ediyorum, dua ediyorum

[Nakarat: Drake]
Bu yüzden bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor
Bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor

[Refrain: Kyla]
Senin tarzını seviyorum bebek

[Verse 2: Drake]
Güç ve idare
Arkadaşlarım için bütün dilediğim bu
Benim mahallemden kimse bunu yapamaz
Sessizliği parçalamalıydım
Biliyorsun yanımda kalmalısın
Yazıyı görür görmez bana yanıt ver
Zamanı kavga ederek harcamak istemiyorum
Hiç zamanımız yok

[Nakarat: Drake]
Bu yüzden bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor
Bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor

[Arka Nakarat: Wizkid]
Güzel bir kız var ve o, beni uzun zamandır seviyor
Dans et, dans et, uzun zamandır
Oh evet, uzun zamandır
Geri geri git, geri geri git, geri geri git ve dans et
Geri geri git, geri geri git, geri geri git ve dans et bebeğim
Geri geri git, geri geri git, geri geri git ve dans et
Oh evet, uzun zamandır
Geri geri git, geri geri git, geri geri git ve dans et bebeğim

[Köprü: Kyla]
Söyle bana
Bilmeliyim, nereye gitmek istiyorsun?
Çünkü eğer istiyorsan, yavaşlayabilirim
Sana kontrolünü kaybettiriyor

[Breakdown: Kyla & Wizkid]
Nereye, nereye, nereye
Nereye, nereye, nereye, nereye (Oh evet, uzun zamandır)
Nereye, nereye, nereye (Geri geri git, geri geri git ve dans et bebeğim)
Nereye, nereye, nereye, nereye
Çünkü eğer istiyorsan (Geri geri git, geri geri git ve)
Çünkü eğer istiyorsan (Geri geri git, geri geri git ve)
Çünkü eğer istiyorsan (Geri geri git, geri geri git ve)

[Nakarat: Drake & Kyla]
Bu yüzden bir dansa ihtiyacım var (Nereye, nereye, nereye)
Elimde bir Hennessy var (Nereye, nereye, nereye, nereye)
Gitmeden önce bir kez daha (Nereye)
Yüksek güçler beni tutuyor (Nereye, nereye, nereye, nereye)
Bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor

[Çıkış]
""Hennessy""i nasıl heceliyorsun?
İki ""N"" ve iki ""S"" koyuyorum, böyle mi? Hen... Henn... Henn...
Kesinlikle çıkmıyor
""Hennessy""nin iki tane ""S""i olduğundan eminim, o yüzden ""N""lerden birini çıkaracağım","rap, hip hop",2016-05-06,86,False
Sister Christian,Night Ranger,"album rock,classic rock,glam metal,hard rock,soft rock",1983-01-01,"[Verse 1]
Sister Christian, oh, the time has come
And you know that you're the only one to say, ""Okay""
Where you goin'? What you lookin' for?
You know those boys don't want to play no more with you, it's true

[Chorus]
You're motorin'
What's your price for flight?
In finding Mister Right
You'll be alright tonight

[Verse 2]
Babe, you know you're growin' up so fast
And mama's worryin' that you won't last to say, ""Let's play""
Sister Christian, there's so much in life
Don't you give it up before your time is due, it's true
It's true, yeah

[Chorus]
Motorin'
What's your price for flight?
You've got him in your sight
And drivin' through the night
Motorin'
What's your price for flight?
In finding Mister Right
You'll be alright tonight

[Guitar Solo]

[Chorus]
Motorin'
What's your price for flight?
In finding Mister Right
You'll be alright tonight
You're motorin'
What's your price for flight?
In finding Mister Right
You'll be alright tonight

[Outro]
Sister Christian, oh, the time has come
And you know that you're the only one to say, ""Okay""
But you're motorin'
Yeah, motorin'","glam metal, album rock, arena rock, hard rock",1983-01-01,62,False
I’ll Be There for You (Friends Theme),Boyce Avenue,"acoustic cover,neo mellow,viral pop",2012-07-20,"[Verse 1]
So no one told you life was gonna be this way
Your job's a joke, you're broke, your love life's D.O.A
It's like you're always stuck in second gear
When it hasn't been your day, your week, your month, or even your year, well

[Chorus]
But I'll be there for you
When the rain starts to pour
I'll be there for you
Like I've been there before
I'll be there for you
Cause you're there for me too

[Verse 2]
You're still in bed at ten and work began at eight
You've burned your breakfast, so far things are going great
Your mother warned you there'd be days like these
But she didn't tell you when the world has brought you down to your knees and

[Chorus]
I'll be there for you
When the rain starts to pour
I'll be there for you
Like I've been there before
I'll be there for you
Cause you're there for me too

I'll be there for you
When the rain starts to pour
I'll be there for you
Like I've been there before
I'll be there for you
Cause you're there for me too

Cause you're there for me too",acoustic pop,2015-04-28,40,False
Trouble,Iggy Azalea,"australian hip hop,dance pop,pop,dance pop,r&b,urban contemporary",2014-10-01,"[Verse 1: Iggy Azalea]
Right, I shoulda known you were bad news
From the bad boy demeanor and the tattoos
'Cause most guys only want one thing
But I'm undecided, tryna figure out if that's you
Either way though, I think you're worth a test drive
'Cause (Ooh) you're so much better than the next guy
And a little trouble only makes for a good time
So all the normal red flags be a good sign

[Chorus: Jennifer Hudson]
Don't you come here thinkin' you're ballin' (Oh, nah)
Ain't down for it
You seem like trouble to me
I can tell by the way that you lean and the way that you kiss your teeth
And you turn up so fresh and clean
Smells like trouble to me

[Verse 2: Iggy Azalea]
Opposites attract, I guess this is that
Good girl, bad guy, what a perfect match
And if we (Ooh), you're gon' wanna pay back tithes
'Cause when you finish, you gon' feel like you was baptized
See, baby, now you fiendin' for a test drive
'Cause you don't wanna lose your ride to the next guy
And, baby, trouble only makes for a good time
So all the normal red flags be a good sign

[Chorus: Jennifer Hudson]
Don't you come here thinkin' you're ballin' (Oh, nah)
Ain't down for it
You seem like trouble to me
I can tell by the way that you lean and the way that you kiss your teeth
And you turn up so fresh and clean
Smells like trouble to me

[Verse 3: Iggy Azalea]
I got it bad for him in the worst way
Dear Lord, how'd I get in this position? And
I shoulda have never got involved in the first place
But second place never get the recognition, hmm
See what he doin' to me make have to shout it out
Got a hold on me, that's without a doubt
So clear now that he's a trouble-starter
But I ain't a saint either, and these ain't no still waters

[Bridge 1: Jennifer Hudson & Iggy Azalea]
Just 'cause all the girls are fallin' at your feet
(Don't mean no thing to me; Ooh)
'Til you show me where it's at
Smells like trouble to me
Just 'cause all the girls are fallin' at your feet
(Don't mean no thing to me; Ooh)
'Til you show me where it's at
Smells like trouble to me

[Bridge 2: Iggy Azalea & Jennifer Hudson]
I shoulda known you were bad news (Ooh, ooh, ooh)
(Oh, yeah) Knew you were bad news (Knew you were bad)
From the bad boy demeanor and the tattoos (Ooh, ooh, ooh)
All of the tattoos (I shoulda known)
I shoulda known you were bad news (Ooh, ooh, ooh)
(Oh, yeah) Knew you were bad news (Ah, yeah)
But I'm undecided, tryna figure out if that's you (Ooh, ooh, ooh)
(Oh) Trouble to me

[Chorus: Jennifer Hudson]
Don't you come here thinkin' you're ballin' (Oh, nah)
Ain't down for it (Ooh, ooh, ooh)
You seem like trouble to me
I can tell by the way that you lean and the way that you kiss your teeth
And you turn up so fresh and clean (Ooh, ooh, ooh)
Smells like trouble to me",,2014-10-24,42,True
Surrender,Cheap Trick,"album rock,beatlesque,classic rock,glam metal,glam rock,hard rock,mellow gold,power pop,rock,singer-songwriter,soft rock",1978-04,"[Intro]

[Verse 1]
Mother told me, yes, she told me I'd meet girls like you
She also told me, ""Stay away, you'll never know what you'll catch""
Just the other day, I heard of a soldier's falling off
Some Indonesian junk that's goin' 'round

[Chorus]
Mommy's alright, Daddy's alright
They just seem a little weird
Surrender, surrender
But don't give yourself away, hey, hey

[Verse 2]
Father says ""Your mother's right, she's really up on things
Before we married, Mommy served in the WACS in the Philippines”
Now, I had heard the WACs recruited old maids for the war
But mommy isn't one of those, I've known her all these years

[Chorus]
Mommy's alright, Daddy's alright
They just seem a little weird
Surrender, surrender
But don't give yourself away, hey, hey

[Instrumental Break]

[Verse 3]
Whatever happened to all this season's losers of the year?
Every time I got to thinking, where'd they disappear?
Then I woke up, Mom and Dad are rollin' on the couch
Rollin' numbers, rock and rollin', got my KISS records out

[Chorus]
Mommy's alright, Daddy's alright
They just seem a little weird
Surrender, surrender
But don't give yourself away, hey, hey

[Post-Chorus]
Away
Away

[Outro]
Surrender (Mommy's alright)
Surrender (Daddy's alright)
But don't give yourself away
Surrender (Mommy's alright)
Surrender (Daddy's alright)
But don't give yourself away
Surrender (Mommy's alright)
Surrender (Daddy's alright)
But don't give yourself away
Surrender (Bun E.’s alright)
Surrender (Tommy’s alright)
But don't give yourself away (Robin’s alright, Rick’s alright)
Surrender (We’re all alright)
Surrender (We’re all alright)
But don't give yourself away (We’re all alright, We’re all alright)
Surrender (Mommy's alright)
Surrender (Daddy's alright)
But don't give yourself away
Surrender (Mommy's alright)
Surrender (Daddy's alright)
But don't give yourself away
Surrender","power pop, album rock, classic rock, glam rock",1978-04,67,False
I Fall Apart,Post Malone,"dfw rap,melodic rap,pop,rap",2016-12-09,"[Intro]
Ooh, I fall apart
Ooh, yeah, mmm, yeah

[Verse 1]
She told me that I'm not enough (Yeah)
And she left me with a broken heart (Yeah)
She fooled me twice and it's all my fault (Yeah)
She cut too deep, now she left me scarred (Yeah)
Now there's so many thoughts goin' through my brain (Yeah)
And now I'm takin' these shots like it's Novocaine, yeah

[Chorus]
Ooh, I fall apart
Down to my core
Ooh, I fall apart
Down to my core
Ooh, didn't know it before
Surprised when you caught me off guard
All this damn jewelry I bought
You was my shorty, I thought

[Verse 2]
Never caught a feelin' this hard
Harder than the liquor I pour
Tell me you don't want me no more
But I can't let go, everybody told me so
Feelin' like I sold my soul
Devil in the form of a whore
Devil in the form of a whore
You said it, no, you said it
No, you said that shit, we'd be together, oh

[Chorus]
Ooh, I fall apart
Down to my core
Ooh, I fall apart
Down to my core
Ooh, didn't know it before
Surprised when you caught me off guard
All this damn jewelry I bought
You was my shorty, I thought

[Bridge]
Ice keep pourin' and the drink keep flowin'
Try to brush it off, but it keep on goin'
Covered in scars and I can't help showin'
Whippin' in the foreign and the tears keep rollin'
Ice keep droppin' and the drink keep flowin'
Try to brush it off, but it keep on goin'
All these scars, can't help from showin'
Whippin' in the foreign and the tears keep blowin', yeah

[Chorus]
Ooh, I fall apart
Down to my core
Ooh, I fall apart
Down to my core
Ooh, didn't know it before
Surprised when you caught me off guard
All this damn jewelry I bought
You was my shorty, I thought",,2016-12-09,76,True
Lush Life,Zara Larsson,"pop,scandipop,swedish electropop,swedish pop",2015-06-09,"[Chorus]
I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when mornin' comes
Doin' it all night, all summer
Gonna spend it like no other

[Verse 1]
It was a crush
But I couldn't, couldn't get enough
It was a rush
But I gave it up
It was a crush
Now, I might've went and said too much
But that's all it was
So I gave it up

[Chorus]
I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when mornin' comes
Doin' it all night, all summer
Gonna spend it like no other

[Verse 2]
It was a crush
I kept sayin', ""I'ma stay in touch""
But that thing went bust
So I gave it up, ooh
No tricks, no bluff
I'm just better off without them cuffs
Yeah, the sun won't set on us
Ooh, ooh, ooh, yeah, yeah

[Pre-Chorus]
Went low, went high
Still waters run dry
Gotta get back in the groove
I ain't ever worried
Went low, went high
What matters is now
Gettin' right back in the mood

[Chorus]
I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when mornin' comes
Doin' it all night, all summer
Gonna spend it like no other

[Post-Chorus]
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late

[Bridge]
Ooh, ooh-woah
Ooh, ooh-woah

[Chorus]
I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when mornin' comes
Doin' it all night, all summer
Gonna spend it like no other

[Post-Chorus]
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late",,2017-03-17,82,False
Happy Up Here,Röyksopp,"downtempo,electronica,indietronica,neo-synthpop,trip hop",2009-03-18,"[Refrain]
You know I really like it
I know I'll always be here
You know it makes my heart beat
You know I'm happy up here

[Verse 1]
World, what you got for me?
Just bring it on
What's it gonna be?
Are you ready for it?
People, what you got for me?
Just bring it on
What's it gonna be?
I'm ready for it

[Refrain]
You know I really like it
I know I'll always be here

[Verse 2]
Whatever you do, whatever you say
Nothing can push the feeling away
It's here in my heart and it's here in my head
I feel like I'm part of a book I've read
And every page and every paper
Seem to be part of human nature
Sending me back down memory lane
My favorite record is playing again

[Refrain]
You know I really like it
I know I'll always be here
You know it makes my heart beat","downtempo, electronica, trip hop",2009-03-18,40,False
Witch Queen,Chantoozies,australian rock,1988,"Feel-so-hot, feel-so-hot, feel-so-hot, feel-so-hot, feel-so-hot
Feel-so-hot, feel-so-hot, feel-so-hot, feel-so-hot, feel-so-hot
Feel-so-hot, feel-so-hot, feel-so-hot, feel-so-hot
Marie, Marie, da voodoo veau (do-do, do-do-do-doo)
Marie, Marie, da voodoo veau (do-do, do-do-do-doo)
Marie, Marie, da voodoo veau
(Do-do, do-do, do-do-doo)
I'm gonna tell you a story, as strange as it might seem
Of zombie and voodoo dreamin' and the witch queen of New Orleans
She lived in a world of magic, possessed by the devil's skew
From a shack near the swamplands, of mud and brick
Marie stirred her witches brew
Marie, Marie, da voodoo veau - she'll put a spell on you-ou
Marie, Marie, da voodoo veau - she'll put a spell on you-ou
Marie, Marie, da voodoo veau
She's the witchqueen - of New Orlea-eans
Dime or a nickel anyone could buy, voodoo of any kind
She had potions and lotions, herbs and tanna leaves
Guaranteed to blow your mind
Early one morning into mucky swamp dew
Vanished Marie with hate in her eyes
Though she'll never return, all the Cajuns knew
A Witch Queen never die-ie-ies
Marie, Marie, da voodoo veau - she'll put a spell on you-ou
Marie, Marie, da voodoo veau - she'll put a spell on you-ou
Marie, Marie, da voodoo veau
She's the witch queen - of New Orlea-eans
Marie, Marie, da voodoo veau - she'll put a spell on you-ou
Marie, Marie, da voodoo veau - she'll put a spell on you-ou
Marie, Marie, da voodoo veau
She's the witch queen - of New Orlea-eans
I'm gonna tell you a story, strange as it might seem
A zombie and voodoo dreamin' and the witch queen of New Orleans
Marie, Marie, da voodoo veau - she'll put a spell on yo",,1988,24,False
Bulletproof,La Roux,"alternative dance,electropop,indietronica,neo-synthpop",2009,"[Verse 1]
Been there, done that, messed around
I'm having fun, don't put me down
I'll never let you sweep me off my feet
I won't let you in again
The messages I've tried to send
My information's just not going in
Burning bridges shore to shore
I break away from something more
I'm not turned on to love until it's cheap
Been there, done that, messed around
I'm having fun, don't put me down
I'll never let you sweep me off my feet

[Chorus]
This time, baby, I'll be bulletproof
This time, baby, I'll be bulletproof

[Verse 2]
I won't let you turn around
And tell me now I'm much too proud
To walk away from something when it's dead
Do-do-do your dirty words
Come out to play when you are hurt?
There's certain things that should be left unsaid
Tick, tick, tick, tick on the watch
And life's too short for me to stop
Oh, baby, your time is running out
I won't let you turn around
And tell me now I'm much too proud
All you do is fill me up with doubt

[Chorus]
This time, baby, I'll be bulletproof
This time, baby, I'll be bulletproof
This time, baby, I'll be bulletproof
This time, baby, I'll be bulletproof

[Bridge]
This time, I'll be bulletproof
This time, I'll be bulletproof

[Chorus]
This time, baby, I'll be bulletproof
This time, baby, I'll be bulletproof
This time, baby (This time, baby, I'll be bulletproof)
This time, baby, this time, baby, this time
This time, baby (This time, baby, I'll be bulletproof)
This time, baby
Bulletproof",,2009,73,False
Breathe,Jax Jones,"dance pop,edm,house,pop dance,uk dance,norwegian pop",2017-12-01,"[Intro: Ina Wroldsen & MNEK]
Dum-dum-da-da-da-da, dum-dum-da-da-da
Dum-dum-da-da-da-da, dum-dum
What you, what you gon' do?

[Verse 1: Ina Wroldsen]
You're my discretional sin
I feel you on me when I touch my skin
You got me hooked and you're reeling me in
When I look in your eyes, I'm on the edge

[Pre-Chorus: Ina Wroldsen]
You're on my mind like a song that I can't escape
I don't know how many da-da-dums I can take
I need to know if you're feeling, feeling the same
Is it too late?

[Chorus: Ina Wroldsen]
But now it's hard to breathe
I'm not in love, it's just a game we do
I tell myself I'm not that into you
But I don't wanna sleep, it's quarter after three

[Post-Chorus: Ina Wroldsen]
You're in my head like
Dum-dum-da-da-da-da, dum-dum-da-da-da
Dum-dum-da-da-da-da, dum-dum-da-da-da
You're in my head like
Dum-dum-da-da-da-da, dum-dum-da-da-da
Dum-dum-da-da-da-da, dum-dum-da-da-da

[Verse 2: Ina Wroldsen]
You're my obsession, my truth
I come alive whenever I'm with you
And now I dialed your number again
And you come over and over, and then

[Pre-Chorus: Ina Wroldsen]
You're on my mind like a song that I can't escape
I don't know how many da-da-dums I can take
I need to know if you're feeling, feeling the same
Is it too late?

[Chorus: Ina Wroldsen]
But now it's hard to breathe
I'm not in love, it's just a game we do
I tell myself I'm not that into you
But I don't wanna sleep, it's quarter after three
And now it's hard to breathe
We're not in love, it's just a thing we make
We're skin on skin, I need this spell to break
But I don't wanna go and I know that you know

[Post-Chorus: Ina Wroldsen]
You're in my head like
Dum-dum-da-da-da-da, dum-dum-da-da-da
Dum-dum-da-da-da-da, dum-dum-da-da-da
You're in my head like
Dum-dum-da-da-da-da, dum-dum-da-da-da
Dum-dum-da-da-da-da

[Bridge: Ina Wroldsen]
And now it's hard to breathe (Thing we make)
Breathe (Into you)
Breathe (Thing we make)
Breathe
And now it's hard to breathe (Thing we make)
Breathe (Into you)
Breathe (Thing we make)

[Chorus: Ina Wroldsen]
And now it's hard to breathe
I'm not in love, it's just a game we do
I tell myself I'm not that into you
But I don't wanna sleep, it's quarter after three
I know it's hard to breathe
We're not in love, it's just a thing we make
Oh, we're skin on skin, I need to this spell to break
But I don't wanna go and I know that you know

[Post-Chorus: Ina Wroldsen]
You're in my head like
Dum-dum-da-da-da-da, dum-dum-da-da-da
Dum-dum-da-da-da-da, dum-dum-da-da-da
Dum-dum-da-da-da-da, dum-dum-da-da-da
Dum-dum-da-da-da-da, dum-dum-da-da-da",,2019-07-12,59,False
Say My Name,Dimitri Vegas & Like Mike,"belgian dance,belgian edm,big room,dutch house,edm,electro house,pop dance,progressive electro house,pop dance,pop edm,slap house,uk dance,belgian edm,pop dance",2020-07-24,"[Intro]
Say my name, say my name
Say my name, say my name
Say my name, say my name
Better say my name

[Verse 1]
Every other day, I would call, you would say
""Baby, how's your day,"" but today, it ain't the same
Every other word is ""uh-huh, yeah, okay""
Could it be that you are at the crib with another lady?

[Chorus]
Say my name, say my name
If no one is around you
Say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me 'Baby'
Why the sudden change?
Say my name, say my name
If no one is around you
Say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me 'Baby'

[Post-Chorus]
Baby
Baby
Baby
Baby
Baby
Why the sudden?
Baby
Baby
Baby
Ain't callin' me 'Baby'
Baby

[Verse 2]
I know you say that I am assuming things
Something's going down, that's the way it seems
Shouldn't be no reason why you're acting strange
If nobody's holding you back from me
'Cause I know how you usually do
When you say everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

[Chorus]
Say my name, say my name
If no one is around you
Say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me 'Baby'
Why the sudden change?
Say my name, say my name
If no one is around you
Say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me 'Baby'

[Post-Chorus]
Baby
Baby
Baby
Baby
Baby
Why the sudden?
Baby
Baby
Baby
Ain't callin' me 'Baby'
Baby

[Chorus]
Say my name, say my name
If no one is around you
Say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me 'Baby'
Why the sudden change?","big room, electronica, edm, electro",2020-07-24,62,False
I Cry,Flo Rida,"dance pop,miami hip hop,pop,pop rap",2012-06-22,"[Chorus: Kelli-Leigh with Flo Rida]
I know
Caught up in the middle
I cry, just a little
When I think of letting go
Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go

[Verse 1: Flo Rida]
I know you wanna get behind the wheel, but only one Rida
Eyes shut, still got me swimming like a diver
Can't let go, I got fans in Okinawa
My heart to Japan, quake losers and survivors
Norway, no, you didn't get my flowers
No way to say it better, but the killer was a coward
Face just showered, the minute in a hour
Heard about the news, whole day went sour
Bitter moments got me feeling like a Lemonhead
Put you in the box just as poisonous as cigarettes
There go my regards, but regardless I get arrested
Ain't worried about the killers, just the young and restless
Getting mad 'cause there's a quarter million on my necklace
DUI never said I was driving reckless
You and I know that jealously is not impressive
Oh no, I can't stop, I was destined

[Chorus: Kelli-Leigh with Flo Rida]
I know
Caught up in the middle
I cry, just a little
When I think of letting go
Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go
I know
Caught up in the middle
I cry, just a little
When I think of letting go
Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go

[Verse 2: Flo Rida]
Champagne bucket still got two tears in it
And I put that on my tattoo of Jimi Hendrix
Get the pressed leather outfit all in it
'Cause the press tell it all, get a meal ticket
Kleenex, get a call, just a lil visit
Sacrifice just to make a hit still vivid
Reality stressed when you're blessed, just kill critics
Bugatti never meant I'm rich, just God-fearing
Look at me steering, got the boss staring
Got a good feeling, Mr. Mike Caren
Tell them Billie Jeans, I'm on another planet
Thank E-Class, Big Chuck and Lee Prince's parents
Buy my momma chandeliers, I'm in tears, dammit
Thirty years you'd have thought these emotions vanish
Tryna live, tryna figure how your sister vanished
No cheers, I know you woulda panicked

[Chorus: Kelli-Leigh with Flo Rida]
I know
Caught up in the middle
I cry, just a little
When I think of letting go
Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go
I know
Caught up in the middle
I cry, just a little
When I think of letting go
Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go

[Bridge: Flo Rida]
When I need a healing, I just look up to the ceiling
I see the sun coming down, I know it's all better now
When I need a healing, I just look up to the ceiling
I see the sun coming down, I know it's all better now
When I need a healing, I just look up to the ceiling
I see the sun coming down I know it's all better now
When I need a healing, I just look up to the ceiling
I see the sun coming down, I know it's all better now

[Post-Chorus: Kelli-Leigh with Flo Rida]
I know
I know
I know
I know
I, I, I, I
I think of letting go, go, go
[Chorus: Kelli-Leigh with Flo Rida]
I know
Caught up in the middle
I cry, just a little
When I think of letting go
Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go
I know
Caught up in the middle
I cry, just a little
When I think of letting go
Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go",,2012-06-22,69,False
